"phase title","phase see","pattern title","pattern see","rule title","rule context","generate context test","assert test","assert description","assert severity","notes"
"Building Information","Based on ASHRAE 211 5.2.3 and BSync-gem requirements","Basic Building Info","","Basic Building Info","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building","true","auc:Address or auc:ClimateZoneType or auc:WeatherDataStationID or (auc:Latitude and auc:Longitude)","","",""
"","","","","","","","auc:PremisesName","","",""
"","","","","","","","auc:BuildingClassification","","",""
"","","","","","","","auc:OccupancyClassification","","",""
"","","","","","","","auc:FloorAreas/auc:FloorArea[auc:FloorAreaType='Gross']/auc:FloorAreaValue","","",""
"","","","","","","","auc:YearOfConstruction","","",""
"","","","","Link Building to Baseline","","","//auc:Scenarios/auc:Scenario[auc:LinkedPremises/auc:Building/auc:LinkedBuildingID/@IDref = current()/@ID]/auc:ScenarioType/auc:CurrentBuilding/auc:CalculationMethod/auc:Modeled/auc:SimulationCompletionStatus/text()='Not Started'","An auc:Building should be linked to an auc:Scenario[auc:ScenarioType/auc:CurrentBuilding/auc:CalculationMethod/auc:Modeled/auc:SimulationCompletionStatus='Not Started' in order to trigger a baseline OpenStudio model to be built","",""
"","","","","Address Requirements","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Address","false","auc:City and auc:State","","",""
"","","","","ClimateZoneTypes Allowed","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:ClimateZoneType","false","auc:ASHRAE or auc:CaliforniaTitle24","","",""
"","","","","ClimateZone Requirements","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:ClimateZoneType[auc:ASHRAE or auc:CaliforniaTitle24]","false","//auc:ClimateZone","","",""
"","","Scenario Requirements","","Link Scenario to Building","/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario","true","auc:LinkedPremises/auc:Building/auc:LinkedBuildingID/@IDref","All Scenarios should be linked to a Building","",""
